,exp_path,batch_size,bn,cpu,device,dropout,dropout_rate,epochs,exp_no,gamma,kfold,loss_fn,lr,model,note,optim,scheduler,step_size,0.0 f1-score,0.0 precision,0.0 recall,0.0 support,1.0 f1-score,1.0 precision,1.0 recall,1.0 support,accuracy,macro avg f1-score,macro avg precision,macro avg recall,macro avg support,weighted avg f1-score,weighted avg precision,weighted avg recall,weighted avg support,conv_blocks,filters,hidden_layers,hidden_units,kernel_size
935,..\experiments\184,256,FALSE,FALSE,0,FALSE,0.5,100,184,0.1,5,bce,0.001,xgboost,,adam,FALSE,32,0.929578202,0.910461971,0.949715993,413.8,0.832373185,0.876741425,0.793024328,186.2,0.901,0.880975693,0.893601698,0.871370161,600,0.899556226,0.900393841,0.901,600,,,,,
402,..\experiments\136,256,FALSE,FALSE,0,FALSE,0.5,300,136,0.1,5,bce,0.01,dense_ohe,,adam,TRUE,50,0.970440886,0.966170869,0.974848679,413.8,0.932663054,0.942855685,0.923207428,186.2,0.959,0.95155197,0.954513277,0.949028053,600,0.958849086,0.959017941,0.959,600,,,,,
413,..\experiments\137,256,FALSE,FALSE,0,FALSE,0.5,300,137,0.5,5,bce,0.01,dense_ohe,,adam,TRUE,50,0.970200317,0.966177113,0.974380295,413.8,0.932122428,0.94184043,0.923246179,186.2,0.958666667,0.951161373,0.954008772,0.948813237,600,0.958518205,0.958733508,0.958666667,600,,,,,
424,..\experiments\138,256,FALSE,FALSE,0,FALSE,0.5,300,138,0.1,5,bce,0.01,dense_ohe,,adam,TRUE,100,0.970200317,0.966177113,0.974380295,413.8,0.932122428,0.94184043,0.923246179,186.2,0.958666667,0.951161373,0.954008772,0.948813237,600,0.958518205,0.958733508,0.958666667,600,,,,,
435,..\experiments\139,256,FALSE,FALSE,0,FALSE,0.5,300,139,0.5,5,bce,0.01,dense_ohe,,adam,TRUE,100,0.970200317,0.966177113,0.974380295,413.8,0.932122428,0.94184043,0.923246179,186.2,0.958666667,0.951161373,0.954008772,0.948813237,600,0.958518205,0.958733508,0.958666667,600,,,,,
1748,..\experiments\38,256,FALSE,FALSE,0,FALSE,0.5,128,38,0.1,5,bce,0.01,dense_ohe,,adam,FALSE,32,0.967735962,0.964046599,0.971543729,413.8,0.9270311,0.935089948,0.91957201,186.2,0.955333333,0.947383531,0.949568273,0.94555787,600,0.955207722,0.955347267,0.955333333,600,,,,,
1759,..\experiments\39,256,FALSE,FALSE,0,FALSE,0.8,128,39,0.1,5,bce,0.01,dense_ohe,,adam,FALSE,32,0.967735962,0.964046599,0.971543729,413.8,0.9270311,0.935089948,0.91957201,186.2,0.955333333,0.947383531,0.949568273,0.94555787,600,0.955207722,0.955347267,0.955333333,600,,,,,
458,..\experiments\141,256,FALSE,FALSE,0,FALSE,0.5,300,141,0.5,5,bce,0.001,dense_ohe,,adam,TRUE,50,0.967602377,0.962256172,0.973080516,413.8,0.925917367,0.93767533,0.914801318,186.2,0.955,0.946759872,0.949965751,0.943940917,600,0.954853735,0.954999773,0.955,600,,,,,
469,..\experiments\142,256,FALSE,FALSE,0,FALSE,0.5,300,142,0.1,5,bce,0.001,dense_ohe,,adam,TRUE,100,0.967602377,0.962256172,0.973080516,413.8,0.925917367,0.93767533,0.914801318,186.2,0.955,0.946759872,0.949965751,0.943940917,600,0.954853735,0.954999773,0.955,600,,,,,
735,..\experiments\166,256,FALSE,FALSE,0,FALSE,0.5,64,166,0.1,5,bce,0.001,dense_ohe,,adam,FALSE,32,0.967218736,0.967598853,0.966863846,413.8,0.926200595,0.924988031,0.927530366,186.2,0.954666667,0.946709665,0.946293442,0.947197106,600,0.954703975,0.954794698,0.954666667,600,,,,,
746,..\experiments\167,256,FALSE,FALSE,0,FALSE,0.8,64,167,0.1,5,bce,0.001,dense_ohe,,adam,FALSE,32,0.967218736,0.967598853,0.966863846,413.8,0.926200595,0.924988031,0.927530366,186.2,0.954666667,0.946709665,0.946293442,0.947197106,600,0.954703975,0.954794698,0.954666667,600,,,,,
1771,..\experiments\40,256,TRUE,FALSE,0,TRUE,0.5,128,40,0.1,5,bce,0.001,dense_ohe,,adam,FALSE,32,0.966062204,0.983556066,0.949618922,413.8,0.928345425,0.89627148,0.964709936,186.2,0.954,0.947203815,0.939913773,0.957164429,600,0.954557686,0.957132651,0.954,600,,,,,
480,..\experiments\143,256,FALSE,FALSE,0,FALSE,0.5,300,143,0.5,5,bce,0.001,dense_ohe,,adam,TRUE,100,0.967359437,0.962245992,0.972600899,413.8,0.92538771,0.936595256,0.914801318,186.2,0.954666667,0.946373574,0.949420624,0.943701109,600,0.954523346,0.954663275,0.954666667,600,,,,,
447,..\experiments\140,256,FALSE,FALSE,0,FALSE,0.5,300,140,0.1,5,bce,0.001,dense_ohe,,adam,TRUE,50,0.967107842,0.96128637,0.973066972,413.8,0.924900082,0.937528867,0.912905584,186.2,0.954333333,0.946003962,0.949407619,0.942986278,600,0.954169325,0.954301483,0.954333333,600,,,,,
1837,..\experiments\46,256,FALSE,FALSE,0,FALSE,0.5,128,46,0.1,5,bce,0.001,dense_ohe,,adam,FALSE,32,0.967025199,0.96172821,0.972514838,413.8,0.925349485,0.937039369,0.914618397,186.2,0.954333333,0.946187342,0.949383789,0.943566617,600,0.954160037,0.954417748,0.954333333,600,,,,,
1848,..\experiments\47,256,FALSE,FALSE,0,FALSE,0.8,128,47,0.1,5,bce,0.001,dense_ohe,,adam,FALSE,32,0.967025199,0.96172821,0.972514838,413.8,0.925349485,0.937039369,0.914618397,186.2,0.954333333,0.946187342,0.949383789,0.943566617,600,0.954160037,0.954417748,0.954333333,600,,,,,
1926,..\experiments\54,256,FALSE,FALSE,0,FALSE,0.5,128,54,0.1,5,bce,0.0001,dense_ohe,,adam,FALSE,32,0.964909931,0.959885655,0.970111308,413.8,0.92015843,0.931494848,0.909739507,186.2,0.951333333,0.94253418,0.945690252,0.939925407,600,0.951156938,0.951385974,0.951333333,600,,,,,
1937,..\experiments\55,256,FALSE,FALSE,0,FALSE,0.8,128,55,0.1,5,bce,0.0001,dense_ohe,,adam,FALSE,32,0.964909931,0.959885655,0.970111308,413.8,0.92015843,0.931494848,0.909739507,186.2,0.951333333,0.94253418,0.945690252,0.939925407,600,0.951156938,0.951385974,0.951333333,600,,,,,
1704,..\experiments\34,256,TRUE,FALSE,0,FALSE,0.5,128,34,0.1,5,bce,0.01,dense_ohe,,adam,FALSE,32,0.961272644,0.960270097,0.962491891,413.8,0.912124074,0.915427954,0.909961773,186.2,0.946333333,0.936698359,0.937849026,0.936226832,600,0.946287815,0.946737742,0.946333333,600,,,,,
1715,..\experiments\35,256,TRUE,FALSE,0,FALSE,0.8,128,35,0.1,5,bce,0.01,dense_ohe,,adam,FALSE,32,0.961272644,0.960270097,0.962491891,413.8,0.912124074,0.915427954,0.909961773,186.2,0.946333333,0.936698359,0.937849026,0.936226832,600,0.946287815,0.946737742,0.946333333,600,,,,,
757,..\experiments\168,256,FALSE,FALSE,0,FALSE,0.5,64,168,0.1,5,bce,0.0001,dense_ohe,,adam,FALSE,32,0.960421317,0.960772035,0.960117728,413.8,0.911242767,0.910004937,0.912688872,186.2,0.945333333,0.935832042,0.935388486,0.9364033,600,0.945387036,0.945538059,0.945333333,600,,,,,
768,..\experiments\169,256,FALSE,FALSE,0,FALSE,0.8,64,169,0.1,5,bce,0.0001,dense_ohe,,adam,FALSE,32,0.960421317,0.960772035,0.960117728,413.8,0.911242767,0.910004937,0.912688872,186.2,0.945333333,0.935832042,0.935388486,0.9364033,600,0.945387036,0.945538059,0.945333333,600,,,,,
1682,..\experiments\32,256,TRUE,FALSE,0,TRUE,0.5,128,32,0.1,5,bce,0.01,dense_ohe,,adam,FALSE,32,0.960460819,0.959010497,0.962037906,413.8,0.911080261,0.91381766,0.908877057,186.2,0.945333333,0.93577054,0.936414078,0.935457481,600,0.945301369,0.945526855,0.945333333,600,,,,,
